event_id,path,source_uid,intent,entry_heading_deg,net_yaw_deg_db,net_yaw_deg_recomputed,absolute_yaw_deg,budget_deg,heading_quality,valid,longest_same_sign_turn_seconds,mechanical_spin_ratio,budget_violation,nonturn_mechanical_fail,metric_mismatch,motion_ok,reason
65,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000074.npy,female_36pose_2,none,-0.02600446715950966,0.6723861694335938,0.6723861800934164,4.74313821109026,30.0,1.0,True,0.0,0.0,False,False,False,True,
66,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000075.npy,female_36pose_2,none,0.03010057844221592,-2.541091203689575,-2.5410914125370847,5.076170977944089,30.0,1.0,True,0.0,0.0,False,False,False,True,
67,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000076.npy,female_36pose_2,none,0.0515657514333725,-3.051513195037842,-3.0515133702028416,4.711983156964894,30.0,1.0,True,0.0,0.0,False,False,False,True,
68,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000077.npy,female_36pose_2,none,-0.12505491077899933,-6.094463348388672,-6.094463817620603,16.935643584796082,30.0,1.0,True,0.7333333333333333,0.2894736842105263,False,False,False,True,
69,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000079.npy,female_36pose_2,none,-0.13717174530029297,3.0164427757263184,3.016442910135765,9.864883199384437,30.0,1.0,True,0.0,0.0,False,False,False,True,
70,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000080.npy,female_36pose_2,none,0.331268846988678,-18.223329544067383,-18.223330611282126,18.876310356313684,30.0,1.0,True,1.1,0.39285714285714285,False,False,False,True,
71,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000081.npy,female_36pose_2,none,-0.007429884746670723,-1.1416393518447876,-1.141639439341186,4.259088254140157,30.0,1.0,True,0.0,0.0,False,False,False,True,
72,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000082.npy,female_36pose_2,none,0.03566543012857437,-0.8181402087211609,-0.81814022918652,4.205364547449776,30.0,1.0,True,0.0,0.0,False,False,False,True,
73,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000083.npy,female_36pose_2,none,-0.0212528295814991,0.34883353114128113,0.34883355572500685,2.9046013372411563,30.0,1.0,True,0.0,0.0,False,False,False,True,
74,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000084.npy,female_36pose_2,none,-0.012514379806816578,0.009578880853950977,0.009578881741113354,2.9466584404989216,30.0,1.0,True,0.0,0.0,False,False,False,True,
75,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000085.npy,female_36pose_2,none,-0.02719144895672798,-0.011929051019251347,-0.011929052117452885,2.3635884563867933,30.0,1.0,True,0.0,0.0,False,False,False,True,
76,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000086.npy,female_36pose_2,none,0.03342892974615097,0.3990776538848877,0.3990776812396636,2.419085664383851,30.0,1.0,True,0.0,0.0,False,False,False,True,
77,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000089.npy,female_36pose_2,none,0.4468209147453308,10.980055809020996,10.98005672290888,30.715773923992128,30.0,1.0,True,1.3666666666666667,0.6941176470588235,False,False,False,True,
78,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000090.npy,female_36pose_2,none,-0.06740320473909378,-1.3665976524353027,-1.3665976960710797,19.682706395387484,30.0,1.0,True,0.3,0.22972972972972974,False,False,False,True,
79,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000091.npy,female_36pose_2,none,-0.03727271780371666,4.59018087387085,4.590181247269702,11.392222780826007,30.0,1.0,True,0.2,0.09230769230769231,False,False,False,True,
80,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000092.npy,female_36pose_2,none,0.006071942392736673,-1.8425610065460205,-1.8425611359307108,7.244617728092445,30.0,1.0,True,0.0,0.0,False,False,False,True,
81,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000093.npy,female_36pose_2,none,-0.04010767117142677,-0.8926915526390076,-0.8926915838946505,5.24950581115338,30.0,1.0,True,0.0,0.0,False,False,False,True,
82,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000094.npy,female_36pose_2,none,0.018939901143312454,4.181903839111328,4.181904128311252,6.031098018256279,30.0,1.0,True,0.0,0.0,False,False,False,True,
83,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000095.npy,female_36pose_2,none,0.041947051882743835,-3.7489492893218994,-3.7489495358815446,5.379540233232552,30.0,1.0,True,0.0,0.0,False,False,False,True,
84,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000096.npy,female_36pose_2,none,-0.08148317784070969,1.4540351629257202,1.4540352165046442,9.209350671150585,30.0,1.0,True,0.0,0.0,False,False,False,True,
85,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000097.npy,female_36pose_2,none,0.004532997030764818,2.629697561264038,2.629697749092368,5.170303791311558,30.0,1.0,True,0.0,0.0,False,False,False,True,
86,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000098.npy,female_36pose_2,none,0.09303419291973114,-1.9813827276229858,-1.9813828098205157,4.413339965695256,30.0,1.0,True,0.0,0.0,False,False,False,True,
87,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000099.npy,female_36pose_2,none,-0.009020118042826653,2.3393800258636475,2.3393801315341527,7.4395991383287985,30.0,1.0,True,0.0,0.0,False,False,False,True,
88,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000100.npy,female_36pose_2,none,0.1447470784187317,1.101455807685852,1.1014558356284143,4.014764703565985,30.0,1.0,True,0.0,0.0,False,False,False,True,
89,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000101.npy,female_36pose_2,none,-0.23166424036026,15.491097450256348,15.491097848926115,15.594537648811373,30.0,1.0,True,1.0,0.42857142857142855,False,False,False,True,
90,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000102.npy,female_36pose_2,none,0.1264670491218567,4.6164350509643555,4.616435213778762,27.361053088606788,30.0,1.0,True,0.5,0.23863636363636365,False,False,False,True,
91,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000103.npy,female_36pose_2,none,-0.12692192196846008,-6.511236667633057,-6.511236838132904,13.577082475549904,30.0,1.0,True,0.4666666666666667,0.22950819672131148,False,False,False,True,
92,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000104.npy,female_36pose_2,none,0.030032163485884666,-0.8254255056381226,-0.8254255330708378,5.6306436003316085,30.0,1.0,True,0.0,0.0,False,False,False,True,
93,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000105.npy,female_36pose_2,none,-0.06061272323131561,9.990245819091797,9.990246198958143,16.23784243088361,30.0,1.0,True,0.8,0.3582089552238806,False,False,False,True,
94,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000106.npy,female_36pose_2,none,-0.05370509251952171,0.7919666171073914,0.7919666774827667,13.758447903675837,30.0,1.0,True,0.4,0.14285714285714285,False,False,False,True,
95,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000107.npy,female_36pose_2,none,0.08752943575382233,2.809483289718628,2.8094834825293242,7.94180160365868,30.0,1.0,True,0.0,0.0,False,False,False,True,
96,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000108.npy,female_36pose_2,none,0.06878821551799774,-3.2600831985473633,-3.2600834417929363,6.161271178552967,30.0,1.0,True,0.0,0.0,False,False,False,True,
